meter_id,contract_id,meter_serial,meter_type,energy_type,installation_date,last_inspection_date,location,status
MTR000001,CON00164,SN18647316,prepaid,electricity,2017-04-13,2024-04-24,basement,faulty
MTR000002,CON00083,SN44419684,prepaid,electricity,2021-09-28,2023-04-29,garage,inactive
MTR000003,CON00059,SN35758531,smart_meter,electricity,2017-10-02,2023-09-28,garage,replaced
MTR000004,CON00287,SN66642448,rotary,gas,2015-06-01,2023-02-18,outdoor,faulty
MTR000005,CON00070,SN44681437,traditional,electricity,2022-05-21,2025-02-01,outdoor,active
MTR000006,CON00249,SN12672106,smart_meter,gas,2024-08-21,2022-06-21,basement,faulty
MTR000007,CON00033,SN58779318,rotary,gas,2022-05-16,2022-07-04,garage,inactive
MTR000008,CON00121,SN86634749,prepaid,electricity,2020-08-11,2022-09-05,basement,replaced
MTR000009,CON00047,SN90506654,smart_meter,electricity,2023-09-02,2023-10-04,basement,replaced
MTR000010,CON00121,SN39260590,smart_meter,gas,2016-03-13,2022-12-25,outdoor,faulty
MTR000011,CON00226,SN64811239,traditional,electricity,2024-09-04,2025-04-22,indoor,replaced
MTR000012,CON00274,SN60292051,rotary,gas,2016-04-07,2023-10-11,garage,replaced
MTR000013,CON00127,SN29449696,diaphragm,gas,2020-04-30,2024-01-24,basement,active
MTR000014,CON00018,SN98882124,smart_meter,gas,2022-09-30,2025-10-07,outdoor,faulty
MTR000015,CON00283,SN61632246,diaphragm,gas,2022-03-02,2025-12-05,basement,active
MTR000016,CON00274,SN41726640,diaphragm,gas,2019-05-11,2022-01-17,garage,faulty
MTR000017,CON00155,SN41602967,traditional,electricity,2017-05-11,2022-11-25,garage,faulty
MTR000018,CON00209,SN14547522,traditional,electricity,2024-09-18,2022-06-14,garage,replaced
MTR000019,CON00212,SN54657219,rotary,gas,2019-09-27,2022-07-25,outdoor,faulty
MTR000020,CON00260,SN18907659,diaphragm,gas,2019-09-20,2025-05-18,basement,replaced
MTR000021,CON00015,SN16992585,rotary,gas,2022-03-12,2023-01-12,garage,inactive
MTR000022,CON00002,SN63775923,smart_meter,gas,2022-01-17,2023-09-18,basement,active
MTR000023,CON00057,SN31182569,smart_meter,gas,2020-10-16,2025-08-22,outdoor,replaced
MTR000024,CON00164,SN70597948,traditional,electricity,2024-10-17,2022-10-01,basement,inactive
MTR000025,CON00168,SN47822197,smart_meter,electricity,2015-12-12,2024-04-28,basement,inactive
MTR000026,CON00202,SN86556525,smart_meter,gas,2015-03-26,2022-02-17,outdoor,active
MTR000027,CON00237,SN36610839,traditional,electricity,2022-11-12,2022-12-12,indoor,replaced
MTR000028,CON00220,SN30032157,smart_meter,gas,2019-02-16,2022-12-15,indoor,active
MTR000029,CON00270,SN70895638,rotary,gas,2020-07-17,2022-08-31,outdoor,inactive
MTR000030,CON00098,SN48649601,rotary,gas,2020-07-17,2024-02-22,outdoor,replaced
MTR000031,CON00106,SN90541748,smart_meter,electricity,2024-03-29,2023-08-03,outdoor,replaced
MTR000032,CON00093,SN29588118,smart_meter,gas,2018-04-03,2023-06-21,outdoor,replaced
MTR000033,CON00128,SN59611937,prepaid,electricity,2022-09-03,2025-08-18,garage,active
MTR000034,CON00006,SN72932224,smart_meter,gas,2024-10-09,2023-10-25,garage,inactive
MTR000035,CON00197,SN90154282,diaphragm,gas,2015-10-27,2022-07-15,indoor,active
MTR000036,CON00171,SN73207479,traditional,electricity,2021-10-19,2025-10-05,indoor,active
MTR000037,CON00130,SN77718480,rotary,gas,2019-04-10,2023-09-12,garage,faulty
MTR000038,CON00068,SN85102924,smart_meter,gas,2021-07-05,2023-01-03,basement,inactive
MTR000039,CON00258,SN76147841,diaphragm,gas,2024-11-04,2024-08-16,outdoor,active
MTR000040,CON00163,SN81192277,traditional,electricity,2016-08-03,2023-06-18,indoor,faulty
MTR000041,CON00023,SN77002914,traditional,electricity,2023-05-22,2024-01-09,garage,faulty
MTR000042,CON00135,SN92266282,diaphragm,gas,2020-10-18,2023-10-04,garage,inactive
MTR000043,CON00162,SN75937784,smart_meter,gas,2021-03-26,2025-09-08,garage,active
MTR000044,CON00097,SN29947547,smart_meter,gas,2017-07-30,2023-01-11,indoor,replaced
MTR000045,CON00134,SN31951974,rotary,gas,2020-03-28,2024-06-12,indoor,replaced
MTR000046,CON00021,SN69259769,diaphragm,gas,2022-12-14,2025-02-22,garage,replaced
MTR000047,CON00253,SN25098270,prepaid,electricity,2024-09-20,2022-10-31,indoor,faulty
MTR000048,CON00048,SN48133464,smart_meter,electricity,2024-05-12,2022-12-11,basement,inactive
MTR000049,CON00299,SN10553745,rotary,gas,2023-08-08,2025-03-14,outdoor,replaced
MTR000050,CON00040,SN43038691,traditional,electricity,2022-08-04,2022-07-13,basement,active
MTR000051,CON00146,SN62904575,traditional,electricity,2021-08-15,2022-08-06,basement,inactive
MTR000052,CON00015,SN20880123,diaphragm,gas,2024-04-25,2025-12-20,garage,replaced
MTR000053,CON00138,SN89752745,prepaid,electricity,2015-01-24,2023-11-06,indoor,replaced
MTR000054,CON00167,SN38369179,smart_meter,electricity,2023-12-28,2025-08-11,basement,faulty
MTR000055,CON00029,SN19492426,prepaid,electricity,2021-10-02,2024-02-21,indoor,replaced
MTR000056,CON00131,SN42223009,traditional,electricity,2016-01-01,2022-02-12,outdoor,inactive
MTR000057,CON00199,SN64008708,traditional,electricity,2022-04-04,2025-09-01,outdoor,active
MTR000058,CON00153,SN75880113,traditional,electricity,2023-04-03,2023-09-28,outdoor,faulty
MTR000059,CON00050,SN59319220,rotary,gas,2017-03-29,2024-09-29,garage,replaced
MTR000060,CON00244,SN46034695,prepaid,electricity,2021-09-24,2024-05-16,indoor,replaced
MTR000061,CON00189,SN92391939,smart_meter,gas,2019-11-14,2025-07-15,garage,active
MTR000062,CON00021,SN78899524,diaphragm,gas,2020-03-13,2025-10-17,outdoor,inactive
MTR000063,CON00254,SN49017499,traditional,electricity,2019-11-27,2022-06-12,garage,faulty
MTR000064,CON00077,SN27151649,prepaid,electricity,2018-05-15,2023-05-25,garage,faulty
MTR000065,CON00292,SN16405980,rotary,gas,2015-11-10,2022-04-03,indoor,replaced
MTR000066,CON00212,SN22681476,diaphragm,gas,2022-05-30,2025-03-10,basement,faulty
MTR000067,CON00131,SN77571186,smart_meter,electricity,2016-04-11,2025-09-16,garage,inactive
MTR000068,CON00094,SN16074522,smart_meter,gas,2019-09-01,2025-12-13,basement,faulty
MTR000069,CON00233,SN99960756,diaphragm,gas,2021-12-30,2023-06-27,basement,inactive
MTR000070,CON00109,SN34842009,smart_meter,electricity,2023-05-18,2025-05-22,basement,active
MTR000071,CON00223,SN10784780,traditional,electricity,2016-04-22,2022-01-28,outdoor,replaced
MTR000072,CON00236,SN98277293,rotary,gas,2021-10-01,2024-09-23,basement,faulty
MTR000073,CON00203,SN50621889,smart_meter,electricity,2016-05-27,2022-10-04,indoor,inactive
MTR000074,CON00058,SN12132081,rotary,gas,2017-02-09,2022-02-24,outdoor,replaced
MTR000075,CON00075,SN97206603,smart_meter,gas,2019-11-20,2025-07-06,outdoor,active
MTR000076,CON00155,SN29886456,diaphragm,gas,2019-09-25,2022-02-14,indoor,inactive
MTR000077,CON00079,SN69762583,traditional,electricity,2020-04-15,2022-02-10,garage,inactive
MTR000078,CON00104,SN49571601,rotary,gas,2024-04-20,2024-03-13,indoor,faulty
MTR000079,CON00005,SN23779264,rotary,gas,2024-07-03,2025-12-31,garage,replaced
MTR000080,CON00254,SN14968366,diaphragm,gas,2019-06-26,2024-09-22,garage,inactive
MTR000081,CON00032,SN66640491,prepaid,electricity,2018-07-17,2025-02-07,indoor,faulty
MTR000082,CON00214,SN73530347,smart_meter,gas,2020-07-19,2025-06-29,basement,replaced
MTR000083,CON00224,SN31653807,traditional,electricity,2023-02-22,2023-01-29,garage,faulty
MTR000084,CON00225,SN78133743,smart_meter,electricity,2021-08-04,2025-11-03,basement,replaced
MTR000085,CON00068,SN49378681,rotary,gas,2022-12-23,2024-03-10,garage,faulty
MTR000086,CON00242,SN31746728,rotary,gas,2017-04-28,2023-08-02,indoor,replaced
MTR000087,CON00067,SN33258738,smart_meter,gas,2016-10-02,2025-05-25,garage,active
MTR000088,CON00213,SN50755467,smart_meter,gas,2017-05-07,2025-02-14,indoor,active
MTR000089,CON00184,SN57921617,rotary,gas,2016-10-11,2022-12-24,indoor,active
MTR000090,CON00173,SN67796900,smart_meter,gas,2021-12-04,2023-04-10,indoor,inactive
MTR000091,CON00250,SN55677542,diaphragm,gas,2023-08-18,2022-04-06,basement,inactive
MTR000092,CON00264,SN16767531,traditional,electricity,2023-12-17,2024-07-25,indoor,active
MTR000093,CON00053,SN85493830,smart_meter,electricity,2020-09-08,2022-08-04,outdoor,active
MTR000094,CON00106,SN58538289,smart_meter,electricity,2023-03-03,2023-08-22,garage,replaced
MTR000095,CON00051,SN96851348,traditional,electricity,2018-10-02,2022-10-10,indoor,inactive
MTR000096,CON00225,SN10884169,smart_meter,gas,2024-05-12,2024-08-28,basement,faulty
MTR000097,CON00259,SN21439895,traditional,electricity,2019-03-06,2024-04-29,basement,inactive
MTR000098,CON00078,SN81088456,traditional,electricity,2023-10-30,2023-04-13,outdoor,replaced
MTR000099,CON00212,SN64936566,diaphragm,gas,2024-07-23,2024-11-23,basement,active
MTR000100,CON00227,SN11335293,prepaid,electricity,2024-01-16,2024-11-25,indoor,active
MTR000101,CON00174,SN63908666,smart_meter,gas,2019-11-13,2022-05-06,garage,active
MTR000102,CON00078,SN87115770,smart_meter,electricity,2022-01-31,2025-12-31,basement,replaced
MTR000103,CON00206,SN84304333,diaphragm,gas,2023-02-03,2023-10-05,basement,active
MTR000104,CON00144,SN80839007,rotary,gas,2016-08-24,2025-12-05,garage,replaced
MTR000105,CON00106,SN83071525,prepaid,electricity,2023-11-04,2025-06-20,garage,faulty
MTR000106,CON00208,SN50470861,smart_meter,electricity,2015-06-01,2025-01-05,basement,replaced
MTR000107,CON00065,SN38686961,smart_meter,gas,2020-09-26,2025-02-04,basement,faulty
MTR000108,CON00082,SN13143613,smart_meter,gas,2024-12-25,2025-01-10,basement,inactive
MTR000109,CON00156,SN77816807,smart_meter,gas,2023-03-18,2022-05-03,basement,faulty
MTR000110,CON00260,SN57576607,smart_meter,gas,2015-07-15,2025-08-26,indoor,replaced
MTR000111,CON00153,SN86830962,prepaid,electricity,2015-01-22,2024-07-17,basement,inactive
MTR000112,CON00298,SN57021454,traditional,electricity,2018-03-11,2025-09-27,outdoor,replaced
MTR000113,CON00267,SN43236783,smart_meter,gas,2018-09-04,2024-11-23,outdoor,faulty
MTR000114,CON00233,SN23151704,smart_meter,gas,2022-12-24,2024-05-21,garage,active
MTR000115,CON00048,SN67027331,smart_meter,electricity,2020-05-04,2023-03-16,garage,active
MTR000116,CON00190,SN88952163,rotary,gas,2020-10-26,2024-03-19,basement,replaced
MTR000117,CON00217,SN69066531,rotary,gas,2020-06-28,2024-05-03,outdoor,inactive
MTR000118,CON00259,SN75063976,prepaid,electricity,2020-02-18,2022-09-22,indoor,inactive
MTR000119,CON00234,SN73532708,smart_meter,gas,2023-05-16,2022-11-18,basement,active
MTR000120,CON00210,SN24809069,smart_meter,electricity,2019-02-22,2025-03-16,basement,active
MTR000121,CON00268,SN30576183,smart_meter,gas,2019-03-02,2023-09-17,basement,faulty
MTR000122,CON00151,SN75219822,smart_meter,electricity,2023-11-15,2022-10-20,outdoor,replaced
MTR000123,CON00025,SN48048350,smart_meter,gas,2017-01-19,2024-09-28,indoor,active
MTR000124,CON00281,SN56794869,smart_meter,electricity,2024-10-05,2022-04-02,garage,replaced
MTR000125,CON00294,SN85935555,diaphragm,gas,2018-10-15,2024-02-12,garage,inactive
MTR000126,CON00071,SN77748258,rotary,gas,2020-03-02,2024-07-10,garage,inactive
MTR000127,CON00167,SN93855267,prepaid,electricity,2021-12-29,2024-04-18,garage,inactive
MTR000128,CON00203,SN55499525,prepaid,electricity,2015-07-07,2025-10-05,garage,faulty
MTR000129,CON00046,SN32228439,rotary,gas,2015-04-12,2025-03-17,basement,active
MTR000130,CON00287,SN35827078,prepaid,electricity,2021-01-28,2025-03-27,indoor,inactive
MTR000131,CON00244,SN77463037,smart_meter,electricity,2016-05-07,2025-09-10,outdoor,active
MTR000132,CON00141,SN37622679,smart_meter,gas,2024-04-21,2025-12-16,garage,active
MTR000133,CON00274,SN91450675,diaphragm,gas,2019-07-04,2025-04-21,indoor,replaced
MTR000134,CON00012,SN68655485,smart_meter,gas,2019-08-27,2022-02-19,basement,replaced
MTR000135,CON00132,SN22217180,smart_meter,electricity,2016-02-11,2025-01-14,outdoor,faulty
MTR000136,CON00074,SN34517408,traditional,electricity,2023-08-13,2022-07-03,outdoor,faulty
MTR000137,CON00209,SN32708438,smart_meter,electricity,2021-11-21,2023-10-29,outdoor,active
MTR000138,CON00030,SN50000149,diaphragm,gas,2016-02-09,2023-10-18,outdoor,replaced
MTR000139,CON00166,SN60400522,smart_meter,gas,2015-08-01,2023-02-19,outdoor,inactive
MTR000140,CON00253,SN78265991,prepaid,electricity,2019-04-27,2022-08-24,basement,active
MTR000141,CON00163,SN72387558,prepaid,electricity,2019-07-26,2022-05-15,garage,active
MTR000142,CON00209,SN95032473,smart_meter,electricity,2024-12-08,2022-02-08,basement,active
MTR000143,CON00127,SN50884443,prepaid,electricity,2019-07-25,2024-07-02,indoor,inactive
MTR000144,CON00073,SN82536595,smart_meter,gas,2023-10-09,2023-05-18,garage,replaced
MTR000145,CON00022,SN10134359,traditional,electricity,2024-04-20,2025-06-25,basement,inactive
MTR000146,CON00001,SN74717944,traditional,electricity,2021-09-14,2023-05-29,garage,faulty
MTR000147,CON00109,SN88538733,prepaid,electricity,2018-02-26,2022-04-04,outdoor,active
MTR000148,CON00154,SN22041357,diaphragm,gas,2022-10-31,2022-09-09,outdoor,faulty
MTR000149,CON00222,SN38299831,prepaid,electricity,2020-08-29,2023-10-14,basement,faulty
MTR000150,CON00232,SN43007935,rotary,gas,2018-08-10,2023-12-01,outdoor,replaced
MTR000151,CON00169,SN27948365,prepaid,electricity,2015-01-09,2025-05-31,garage,active
MTR000152,CON00005,SN33291610,diaphragm,gas,2021-03-26,2025-11-27,garage,replaced
MTR000153,CON00276,SN20891605,prepaid,electricity,2022-04-21,2022-06-08,indoor,replaced
MTR000154,CON00064,SN60516391,rotary,gas,2019-01-06,2024-03-03,outdoor,active
MTR000155,CON00064,SN59725069,smart_meter,gas,2019-12-26,2022-01-20,outdoor,active
MTR000156,CON00144,SN58025924,smart_meter,gas,2016-01-04,2025-06-10,basement,inactive
MTR000157,CON00120,SN76277877,diaphragm,gas,2015-05-31,2023-07-29,garage,inactive
MTR000158,CON00004,SN95689443,traditional,electricity,2016-03-30,2023-07-23,garage,inactive
MTR000159,CON00283,SN36007403,rotary,gas,2023-04-15,2025-03-04,outdoor,active
MTR000160,CON00066,SN27103487,traditional,electricity,2021-05-23,2023-04-12,basement,inactive
MTR000161,CON00012,SN85177493,diaphragm,gas,2015-01-09,2024-05-24,indoor,faulty
MTR000162,CON00222,SN64609958,traditional,electricity,2016-05-13,2025-10-24,garage,replaced
MTR000163,CON00186,SN79425047,smart_meter,gas,2024-11-29,2023-04-05,indoor,faulty
MTR000164,CON00216,SN52445278,smart_meter,gas,2019-05-25,2023-02-03,basement,active
MTR000165,CON00293,SN13405363,rotary,gas,2017-07-13,2025-11-13,garage,active
MTR000166,CON00128,SN36424359,smart_meter,electricity,2018-09-10,2023-09-29,indoor,active
MTR000167,CON00015,SN74420002,diaphragm,gas,2024-01-23,2022-02-19,basement,faulty
MTR000168,CON00127,SN73562365,smart_meter,electricity,2018-10-27,2022-04-22,basement,inactive
MTR000169,CON00038,SN90525899,prepaid,electricity,2019-12-02,2022-07-15,garage,active
MTR000170,CON00044,SN14475312,traditional,electricity,2018-07-07,2025-11-21,indoor,inactive
MTR000171,CON00032,SN17353632,diaphragm,gas,2021-11-06,2025-07-06,garage,active
MTR000172,CON00053,SN17488001,prepaid,electricity,2015-08-02,2023-08-27,garage,replaced
MTR000173,CON00050,SN92852868,diaphragm,gas,2017-08-12,2025-05-12,indoor,replaced
MTR000174,CON00197,SN67459379,rotary,gas,2021-12-11,2022-07-27,basement,active
MTR000175,CON00233,SN79419139,diaphragm,gas,2021-08-04,2023-01-30,indoor,active
MTR000176,CON00007,SN89575878,smart_meter,electricity,2021-06-05,2022-09-16,basement,faulty
MTR000177,CON00216,SN93329195,diaphragm,gas,2017-01-31,2023-05-13,outdoor,active
MTR000178,CON00031,SN51831217,prepaid,electricity,2019-11-21,2024-11-16,basement,faulty
MTR000179,CON00299,SN82631078,smart_meter,gas,2016-08-26,2024-08-19,basement,faulty
MTR000180,CON00150,SN11084726,rotary,gas,2021-07-30,2025-09-08,outdoor,active
MTR000181,CON00122,SN66648087,traditional,electricity,2017-03-11,2023-02-15,outdoor,active
MTR000182,CON00175,SN35414874,rotary,gas,2020-05-02,2025-11-23,garage,faulty
MTR000183,CON00297,SN92691963,diaphragm,gas,2019-09-11,2023-11-05,outdoor,active
MTR000184,CON00233,SN15662934,diaphragm,gas,2017-06-17,2022-01-08,outdoor,inactive
MTR000185,CON00239,SN93741127,smart_meter,gas,2017-09-06,2024-09-11,basement,replaced
MTR000186,CON00106,SN63729043,smart_meter,electricity,2024-04-06,2022-01-14,basement,active
MTR000187,CON00038,SN58034735,smart_meter,electricity,2021-03-22,2022-08-24,outdoor,faulty
MTR000188,CON00226,SN36092388,prepaid,electricity,2021-07-26,2024-01-08,indoor,active
MTR000189,CON00102,SN48131375,smart_meter,electricity,2017-06-15,2023-06-21,outdoor,faulty
MTR000190,CON00284,SN33963425,smart_meter,electricity,2015-03-30,2022-12-27,basement,active
MTR000191,CON00011,SN60858151,prepaid,electricity,2023-10-31,2022-08-16,basement,inactive
MTR000192,CON00157,SN71230621,smart_meter,gas,2019-02-23,2024-02-02,outdoor,replaced
MTR000193,CON00034,SN25903904,smart_meter,electricity,2024-11-24,2022-09-25,outdoor,inactive
MTR000194,CON00273,SN60760544,prepaid,electricity,2019-03-13,2023-10-14,garage,inactive
MTR000195,CON00024,SN92681879,prepaid,electricity,2017-02-13,2025-01-01,basement,inactive
MTR000196,CON00168,SN43174817,smart_meter,electricity,2022-01-22,2023-07-28,outdoor,replaced
MTR000197,CON00108,SN73171894,prepaid,electricity,2021-11-23,2022-05-13,outdoor,replaced
MTR000198,CON00261,SN76919318,rotary,gas,2020-03-16,2023-01-02,basement,faulty
MTR000199,CON00270,SN76409861,diaphragm,gas,2018-01-04,2025-04-05,garage,active
